mapping_id,feature_ids,source_class,preferred_source,endpoint_or_dataset,collection_window,refresh_cadence,production_cutoff,consensus_required,fallback_policy,status,notes
API-001,"PERF-001;PERF-002;PERF-003;PERF-004;PERF-005;PERF-006;PERF-007;PERF-008;PERF-009;PERF-010;PERF-011;PERF-012;TACT-003;TACT-004",Event Data,Licensed event-data provider,TBD,T-7d,After each completed match,T-12h,Yes,Use secondary event provider and lower confidence,Draft,Provider selection must preserve home-away splits and timestamped revisions
API-002,"PERF-013;PERF-014;HOME-001;REF-004",Results Data,Competition official or trusted results API,TBD,T-7d,After each completed match,T-12h,Yes,Use second trusted results source,Draft,Derived locally from immutable match results
API-003,"SQUAD-001;SQUAD-008;CONF-002",Injury and Lineup News,Club official plus trusted injury and lineup sources,TBD,T-72h to T-12h,Continuous,T-12h,Yes,Scenario mixture with wider uncertainty,Draft,Projected events must never be treated as confirmed
API-004,"SQUAD-002;SQUAD-010;REF-005",Competition Official,Competition official disciplinary and registration data,TBD,T-72h to T-24h,Daily,T-12h,Yes,Do not apply adjustment when unresolved,Draft,Official source has priority
API-005,"SQUAD-003;SQUAD-004;SQUAD-005;SQUAD-006;SQUAD-007;SQUAD-011",Player and Squad Data,Player event data plus squad database,TBD,T-24h,Daily,T-12h,Yes,Retain missingness and reduce confidence,Draft,Importance is derived rather than copied from one provider
API-006,"SQUAD-009",Club Event,Club official and reliable reporting,TBD,T-7d,Daily,T-12h,Yes,Mark unconfirmed reports as scenarios,Draft,Regime-break window and decay are model parameters
API-007,"MARKET-001;MARKET-002;MARKET-003;MARKET-004;MARKET-005;MARKET-006;MARKET-007;MARKET-008;CONF-004",Odds Data,Multi-bookmaker odds feed,TBD,T-72h to T-12h,Frequent,T-12h,Yes,Use available liquid providers and reduce confidence,Draft,1X2 AH and totals are one market evidence family for double-counting control
API-008,MARKET-009,Odds Data,Multi-bookmaker odds feed,TBD,T-60m,Frequent,T-60m,Yes,Shadow only,Shadow,Closing snapshot prohibited from earlier-cutoff production profiles
API-009,"CTX-001;CTX-002;CTX-003;CTX-004;ENV-003",Schedule and Standings,Competition official,TBD,T-72h to T-24h,Daily,T-12h,Yes,Trusted secondary schedule provider,Draft,Importance and priority remain derived contextual judgments
API-010,"CTX-005;CTX-006;CTX-007;CTX-008",Competition Rules,Competition official,TBD,T-7d,On change,T-12h,Yes,Disable aggregate adjustment if rules unresolved,Draft,Rules must be season-specific
API-011,"ENV-001;ENV-002;ENV-008;ENV-010",Geo and Venue Data,Venue database plus geospatial service,TBD,Season-static to T-72h,On fixture or venue change,T-12h,Yes,Use secondary geocoder or venue source,Draft,Travel should use actual origin assumptions where available
API-012,"ENV-004;ENV-005;ENV-006;ENV-007;CONF-003",Weather,Forecast API,TBD,T-24h to T-12h,Every 6 hours,T-12h,Yes,Scenario mix across providers,Draft,Store issue time forecast time and match coordinates
API-013,ENV-009,Venue Surface,Club or venue official,TBD,Season-static,On venue change,T-12h,Yes,Trusted venue database,Draft,Track temporary venue changes
API-014,"REF-001;REF-002;REF-003",Referee Data,Competition official plus match-event provider,TBD,T-24h,After referee assignment and each match,T-12h,Yes,Use trusted secondary provider,Draft,Use time-decayed rates with sample-size shrinkage
API-015,HOME-002,Attendance and Ticketing,Club venue or competition sources,TBD,T-24h,Daily,T-12h,Yes,Historical attendance model and lower confidence,Draft,Expected attendance is uncertain and scenario based
API-016,"TACT-001;TACT-002;TACT-005",Derived Tactical Data,PRISM derived from registered performance and player features,Internal,T-24h,Daily,T-12h,No,Return missing and reduce confidence,Draft,Tactical labels require evidence and versioned transformation logic
API-017,"CONF-001;CONF-005",Internal Governance,PRISM Data Consensus and Confidence Engines,Internal,T-24h to T-12h,On every pipeline refresh,T-12h,No,Fail closed or widen uncertainty,Draft,Confidence must reflect source disagreement missingness and timing
API-018,LINEUP-001,Official Lineup,Competition or club official,TBD,T-60m,Once,T-60m,Yes,Shadow only,Shadow,Official lineup is not available for standard T-12h production inference
