feature_id,name,layer,category,metric_type,description,data_source,earliest_available,update_frequency,decay_method,target_engine,confidence_default,correlation_group,lifecycle,version_introduced,owner
STR-001,Team ELO,L1,Static Strength,Static,Long-run team strength rating,Derived from results,Season-static,Weekly,None,Latent Strength,0.95,Strength,Experimental,PRISM Enterprise 2026.1,Feature Engineering
STR-002,Squad Market Value,L1,Static Strength,Static,Estimated squad value,Transfer market provider,Season-static,Monthly,None,Latent Strength,0.85,Strength,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-001,Home Rolling xG,L2,Performance,Time-Decayed,Home expected goals weighted toward recent matches,Event data provider,T-7d,After each match,EWMA,Lambda Attack,0.94,Attack Process,Candidate,PRISM Enterprise 2026.1,Feature Engineering
PERF-002,Away Rolling xG,L2,Performance,Time-Decayed,Away expected goals weighted toward recent matches,Event data provider,T-7d,After each match,EWMA,Lambda Attack,0.94,Attack Process,Candidate,PRISM Enterprise 2026.1,Feature Engineering
PERF-003,Home Rolling xGA,L2,Performance,Time-Decayed,Home expected goals against weighted toward recent matches,Event data provider,T-7d,After each match,EWMA,Lambda Defence,0.94,Defence Process,Candidate,PRISM Enterprise 2026.1,Feature Engineering
PERF-004,Away Rolling xGA,L2,Performance,Time-Decayed,Away expected goals against weighted toward recent matches,Event data provider,T-7d,After each match,EWMA,Lambda Defence,0.94,Defence Process,Candidate,PRISM Enterprise 2026.1,Feature Engineering
PERF-005,Rolling xPTS,L2,Performance,Time-Decayed,Expected points over recent matches,Event data provider,T-7d,After each match,EWMA,Strength Calibration,0.92,Results Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-006,Box Shots For,L2,Shot Quality,Time-Decayed,Shots taken from inside the penalty area,Event data provider,T-7d,After each match,EWMA,Lambda Attack,0.93,Attack Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-007,Shot on Target Rate,L2,Shot Quality,Time-Decayed,Shots on target divided by total shots,Event data provider,T-7d,After each match,EWMA,Lambda Attack,0.93,Attack Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-008,Big Chances Created,L2,Shot Quality,Time-Decayed,Recent high-quality chances created,Event data provider,T-7d,After each match,EWMA,Lambda Attack,0.90,Attack Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-009,Big Chances Conceded,L2,Shot Quality,Time-Decayed,Recent high-quality chances conceded,Event data provider,T-7d,After each match,EWMA,Lambda Defence,0.90,Defence Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-010,Possession Rate,L2,Tempo,Time-Decayed,Recent share of possession,Event data provider,T-7d,After each match,EWMA,Tactical Profile,0.95,Possession Style,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-011,Pass Completion Rate,L2,Tempo,Time-Decayed,Recent pass completion percentage,Event data provider,T-7d,After each match,EWMA,Tactical Profile,0.95,Possession Style,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-012,PPDA,L2,Pressing,Time-Decayed,Opponent passes allowed per defensive action,Event data provider,T-7d,After each match,EWMA,Tactical Matchup,0.90,Pressing Style,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-013,Five Match Form Index,L2,Form,Time-Decayed,Time-weighted points and goal difference over five matches,Derived,T-7d,After each match,EWMA,Form Adjustment,0.98,Results Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
PERF-014,Ten Match Form Index,L2,Form,Time-Decayed,Time-weighted points and goal difference over ten matches,Derived,T-7d,After each match,EWMA,Form Adjustment,0.98,Results Process,Experimental,PRISM Enterprise 2026.1,Feature Engineering
SQUAD-001,Injury Availability,L3,Availability,Event,Confirmed and probable injury status,Club and injury sources,T-72h,Continuous,Scenario mixture,Squad Adjustment,0.85,Personnel Event,Candidate,PRISM Enterprise 2026.1,Squad Engine
SQUAD-002,Suspension Availability,L3,Availability,Event,Confirmed suspension status,Competition official,T-72h,Daily,None,Squad Adjustment,0.98,Personnel Event,Candidate,PRISM Enterprise 2026.1,Squad Engine
SQUAD-003,Player Importance Rating,L3,Player Value,Derived,Importance based on minutes contribution threat value and coach preference,Derived,T-24h,Daily,None,Squad Adjustment,0.78,Personnel Impact,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-004,Attacking Absence Coefficient,L3,Player Value,Derived,Estimated attacking loss from unavailable players,Derived,T-24h,Daily,Scenario mixture,Lambda Attack,0.75,Personnel Impact,Experimental,PRISM Enterprise 2026.1,Squad Engine
SQUAD-005,Defensive Absence Coefficient,L3,Player Value,Derived,Estimated defensive loss from unavailable players,Derived,T-24h,Daily,Scenario mixture,Lambda Defence,0.75,Personnel Impact,Experimental,PRISM Enterprise 2026.1,Squad Engine
